Site Number,LastUpdated,Last Updated By,Municode,Site Name,Address,City,County,Municipality,State,Zip Code,Ownership Type,Ownership,PStatus,PI Number,Owner Name,Owner Organization,Authorized Representative,Auth Rep Relation to Owner,Owner Phone,Owner Fax,Owner Email,Owner Address,Owner Street,Owner City,Owner State,Owner Zip Code,Owner County,Municipal Contact Name,Department,Municipal Contact Title,Contact Relation to Owner,Municipal Contact Phone,Municipal Contact Fax,Municipal Contact Email,Municipal Contact Street,Municipal Contact City,Municipal Contact State,Municipal Contact Zip Code,Description,Additional Comments,Transaction Type,Transfer Type,Current Zoning,Proposed Zoning,Copy of Title Insurance,Block,Lot,X Coordinate,Y Coordinate,Coord,Development Plan Completed,Market Study Completed,Current Activity,Current Operations,Prior Operations,Acres,Size Range,Deed Restrictions,Easements,Buildings,Condition of Buildings,Square Footage,Total Buildable Space,Assessed Value,Sale Price,Lease Price,Tax Certificate,Annual Taxes,Tax Lien,Other Liens/Judgements,Traffic Study,Road Access,Waterfront Access,Airport Access,Public Transportation Access,Major Highway Name,Major Highway Interchange,Major Highway Miles Away,Local Highway Name,Local Highway Interchange,Local Highway Miles Away,Rail Type,Rail Name,Rail Station,Rail Miles Away,Public Water,Electric,Gas,Public Sewer,Telephone,Cable,Fiber Optics,Wetlands,Sensitive Ecosystems/Habitats,Endangered Species,Historic/Archeological Site,100 Year Flood Plain,500 Year Flood Plain,Environmental Report Copies,List Containing Site,Preliminary Assessment,Site Investigation,Remedial Investigation,Remedial Action Workplan,Voluntary Cleanup Program,Environmental Litigation,Remediation In Progress,Remediation Estimated Complete Date,Regulatory sign-off,Regulatory Sign-Off Description,Other Incentives,Low Interest Rates,HDSRF Grants,TIF,HDSRF Loans,USA Loans,USA Grants,Designated Redevelopment Area,Environmental Opportunity Zone,Tax Rebate or Abatement,Empowerment Zone (Federal),Urban Coordinating Council Neighborhood,Enterprise Community (Federal),Urban Enterprise Zone,Create Date,County_int_FK,Municipality_int_FK,Planning Area Designation,Authorized Representative Email,Authorized Representative Phone,RepresentativeAddress,RepresentativeStreet,RepresentativeCity,RepresentativeState,RepresentativeZip,SubmitterName,SubmitterAddress1,SubmitterAddress2,SubmitterCity,SubmitterState,SubmitterZip,SubmitterEmail,SubmitterPhone
1095,6/28/16,Barry Ableman,0906,HOPE VI Pacific Court Townhouses,220 Pacific Ave,Jersey City,HUDSON,Jersey City,NJ,07304,Public,Other,No Longer Brownfield,,Ê Ê,Jersey City Housing Authority,Maria Maio,Executive Director,2015476750,2015476702,mmaio@jcha.us,,400 US Route 1 (Marion Gardens),Jersey City,NJ,07306,,Joan ÊPollock,Jersey City Housing Authority,Director of Development & Design,Director of Development & Design,2015478987,2015476648,jpollock@jcha.us,400 US Route 1 (Marion Gardens) ,Jersey City,NJ,07306,This property currently is a residential complex and should not be considered a brownfield. The site was redeveloped for residential rental development as part of a large-scale HOPE VI redevelopment effort.,,,,Other,Residential,Yes,"2044, 2045"," 25.A, 25.A",612762.143,683748.230,612762.143:683748.230,Yes,Yes,Under used (not fully used),72 units of mixed-income rental units are under construction. Scheduled for completion by January 2006.,"Former land use in the area included furnance manufacturing, warehousing with light rail service and vacant land.The 13,000 sf building is currently used as extra storage.",3.31 acres,3 – 5,No,Yes,0,Fair to Good,"13,000sf","13,000sf","Greater than $1,000,000",N/A,N/A,Yes,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
1310,5/24/16,Barry Ableman,0906,RELIABLE PAPER RECYLING,1 Caven Point Rd,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Individual,Archived,,"The Reliable Group, Llc",,Lenny Pirrello,President,2013335244,2013334135,lenny@rreliablepaperrecycling.com,,1 Caven Point Av,Jersey City,NJ,07305,,Benjamin Delisle,Jersey City Redevelopment Agency,,city,2017610819,9999999999,DelisleB@jcnj.org,66 York Street. Floor 2,Jersey City,NJ,07305,A 3.5 acre property with 5 loading docks in a great location near the New Jersey turnpike. Prime for redevelopment efforts.,"Reliable Companies operates recycling business.  http://reliablepaperrecycling.com .  There are active Site Remediation  actions.",,,Industrial,,,0,0,610703.22,682242.79,610703.22:682242.79,Unknown,Unknown,Inactive (out of use),,,3.51,3 – 5,Yes,Unknown,0,Good,,0,,,,No,,Unknown,No,Unknown,,Unknown,Unknown,Unknown,New Jersey Turnpike,14 B,1.3,,,,Commuter And Freight,Hudson-Bergen Light Rail,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,Yes,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
1312,, ,0906,Block of Halladay between Forest and Carteret,block of Halladay between Forest and Carteret,Jersey City,HUDSON,Jersey City,NJ,00000,Private,Individual,Pending Redevelopment,,UK UK,,UK,UK,9999999999,9999999999,mschulz@dca.state.nj.us,,UK,UK,NJ,00000,,Betty  Kearns,Public Works,Environmental Specialist,city,2015476852,9999999999,bettyk@jcnj.org,575 Route 440,Jersey City,NJ,07305,This 2.98 acre property is in a prime location to be redeveloped; situated just one block away from railroad tracks. ,Jim Florio designated,,,Industrial,,,0,0,,,0:0,Unknown,Unknown,Inactive (out of use),,,2.9787,3 – 5,Yes,Unknown,1,Poor to Fair,,0,,,,No,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,,,9999999999,,,,,,,,,,,,,
1317,6/28/16,Barry Ableman,0906,City Chemical Corp.,100 Hoboken Ave,Jersey City,HUDSON,Jersey City,NJ,07310,Public,Municipality,Verified by DEP DataMine,G000000980,Estate of Robert Wolpert,"c/o Lee Corbin, Esq., Kurzman & Eisenberg",,,2015476848,2015474729,bettyk@jcnj.org,,One North Broadway,White Plains,NY,10601,,,City of Jersey City,Environmental Specialist,,2015476848,2015474729,,,,NJ,07304,"Approximately two acres along the border of Hoboken and within walking distance of a proposed Hudson Bergen Light Rail Station.LSRP Name RONALD F ADAMS JR THOMAS S SMITH (617) 221 - 3700       Close to the Holland Tunnel along the Palisades.","D: Multi-Phased RA - Multiple Source/Release to Multi-Media Including GW 1/27/1999   ISRA 6/8/1998   Spill Act Defence Govt. Entity 2/5/2015   Stop Bill-Spill Act Exempt Gov 6/9/2016",,,Industrial,Unknown,No,704.5,B1,617606.73,693184.45,617606.73:693184.45,No,No,Abandoned,The Site is currently involved in a Site Remedial Investigation. ,Former chemical storage facility,2,1 – 2,Yes,Yes,0,,,,,,,No,,No,Yes,No,2-Lane,No,No,Yes,Turnpike,14 C,less then a mile,Route 1 & 9,Holland Tunnel,less then a mile,Commuter And Freight,N.J. Transit,Hoboken,less then a mile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,State Prog,Yes,Yes,No,No,Yes,Yes,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
1424,6/28/16,Barry Ableman,0906,GORDONIAN PRINTING COMPANY INCORPORATED,100 Monitor St,Jersey City,HUDSON,Jersey City,NJ,07304,Public,Municipality,Verified by DEP DataMine,G000001028,Ê Ê,Jersey City Redevelopment Agency,Barbara Netchert,.,2015474781,2015475810,BettyK@jcnj.org,,30 Montgomery Street ,Jersey City ,NJ,07302,,Barbara Netchert,,,,2015474781,2015475810,BettyK@jcnj.org,30 Montgomery Street ,Jersey City ,NJ,07302,"Site Remediation GREULICH, GARY  Phone (973) 656 - 4465",LSRP 0-1 CAOC 12/18/2000   MOA 12/18/2000   Spill Act Defence Govt. Entity 7/31/2014   Spill Act Discharge 12/18/2000   Stop Bill-Spill Act Exempt Gov 7/31/2014   C1: No Formal Design - Source Known or Identified-Potential GW Contamination 1/8/2001,,,Commercial,Unknown,No,1,1,614787.58,684566.58,614787.58:684566.58,No,No,Inactive (out of use),Currently a vacant lot.,Commercial-Printing Company,1.79,1 – 2,No,No,0,,,0,"$250,000 to $1,000,000",,,No,,No,No,No,2-Lane,No,No,Yes,NJ Turnpike,,0.1893939,Route 440 ,,2.75,Commuter,Hudson-Bergen Light Rail,Grove Station,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Other,No,No,No,No,No,No,No,,No,,"Federal Funds through HUD (depends on Project)",No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
2090,6/28/16,Barry Ableman,0906,A. Harry Moore,320-332 Duncan Ave,Jersey City,HUDSON,Jersey City,NJ,07306,Public,Municipality,Verified by Municipality,,Ê Ê,Housing Authority of Jersey City,Maria Maio,"Executive Director, Jersey City Housing Authority",2016476750,9999999999,MMaio@jcha.us,,"400 US Highway 1, Marion Gardens",Jersey City,NJ,07306,,Betty  Kearns,Dept of Public Works Div of Eng Jersey City,Environmental Specialist,,2015476852,2015474729,BETTYK@jcnj.org,575 Route 440 South,Jersey City,NJ,07305,"LSRP Name	FREDERICK J SHOYER III    C2: Formal Design - Known Source or Release with GW Contamination	2/5/2007","LSRP 0-1 CAOC	9/29/2011	 LSRP GW FEE	9/29/2011	 Public Auth	2/8/2006	 Spill Act Discharge	2/8/2006 CEA	2/18/2016",Lease,,Residential,Residential,No,1651,A,607600.16,690977.27,607600.16:690977.27,No,No,Under used (not fully used),Public Housing Apartment Complex.  A good portion of the property is now vacant ,The A. Harry Moore Property had portions that were commercial at one time. ,7.4,6 – 10,No,No,4,Fair to Good,29200,29200 sq. ft.,"Greater than $1,000,000",,,No,,No,Yes,No,2-Lane,No,No,Yes,,,,,,,Commuter,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Unknown,,No,No,No,No,No,No,No,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
2382,6/28/16,Barry Ableman,0906,"198 Van Vorst St. - Bel Fuse, Inc.",198 Van Vorst St.,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Verified by DEP DataMine,576690,Jeffrey Cappola,"Farer Fersko, PA",Jeffrey Cappola,Same,9087898550,9999999999,jcappola@farerlaw.com,,600 South Avenue,Westfield,NJ,07091-0580,, ,,,,9999999999,9999999999,,,,,,"The site is .85 acres in size. This site was a former fuse manufacturing location for Bel Fuse from the early 1960s to the mid 1980s at which time the  manufacturing operations ceased and the facility was used as a warehouse distribution center.","C2: Formal Design - Known Source or Release with GW Contamination	1/10/2005	 ISRA	8/17/2004",Sale,,Unknown,,,131,"1,2, and 23",619312.92,685405.90,619312.92:685405.90,Unknown,Unknown,Inactive (out of use),,The site is .85 acres in size. This site was a former fuse manufacturing location for Bel Fuse from the early 1960s to the mid 1980s at which time the manufacturing operations ceased and the facility was used as a warehouse distribution center.,.85,.25 – 1,No,Unknown,1,Poor to Fair,,less than .85 acres,,,,Unknown,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
2383,,Kevin Shinn,0906,"203 Van Vorst St. - 79-01 Associates, LLC",203 Van Vorst St. ,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Other,Nominated,,Jeffrey  Cappola,"Farer Fersko, PA",Jeffrey Cappola,Same,9087898550,9999999999,jcappola@farerlaw.com,,600 South Avenue,Westfield,NJ,07091-0580,,Jeffrey  Cappola,,,,9087898550,9999999999,jcappola@farerlaw.com,600 South Avenue,Westfield,NJ,07091-0580,"The site is occupied by a single vacant industrial building, with former processing and warehouse space on the first floor and various offices in a laboratory within the upper floors.  The property was most recently occupied by Hart Products Corporation (",,Sale,,Unknown,,,165,"C1, 1E and 1B",619285.890,685351.859,619285.890:685351.859,Unknown,Unknown,Inactive (out of use),,,1 acre,.25 – 1,Yes,Unknown,1,Poor to Fair,,less than 1 acre,,,,Unknown,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
2384,,Kevin Shinn,0906,"215 Van Vorst St. - Bel Fuse, Inc.",215 Van Vorst St.,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Nominated,,Jeffrey Cappola,"Farer Fersko, PA",Jeffrey Cappola,Same,9087898550,9999999999,jcappola@farerlaw.com,,600 South Avenue,Jersey City,NJ,07091,,Jeffrey Cappola,,,,9087898550,9999999999,jcappola@farerlaw.com,600 South Avenue,Jersey City,NJ,07091,The property is approximately one quarter of an acre. ,,Sale,,Unknown,,,166,O,619325.293,685707.506,619325.293:685707.506,Unknown,Unknown,Inactive (out of use),,,.25 acres,.25 – 1,No,Unknown,1,Poor to Fair,,less than .25 acres,,,,Unknown,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
2385,,Barry,0906,619 Luis Munoz Marin Blvd. - Iana Corp.,619 Luis Munoz Marin Blvd.,Jersey City,HUDSON,Jersey City,NJ,07310,Private,Corporation,Nominated,,Jeffrey  Cappola,"Farer Fersko, PA",Jeffrey Cappola,Same,9087898550,9999999999,jcappola@farerlaw.com,,600 South Avenue,Westfield,NJ,07091,,Jeffrey  Cappola,,,,9087898550,9999999999,jcappola@farerlaw.com,600 South Avenue,Westfield,NJ,07091,The site encompasses approximately 0.92 acres and was used for the wholesale distribution of flour and consists of a one-story block building utilized for warehousing.,,Sale,,Unknown,,,223,PL. A,619789.61,692222.19,619789.61:692222.19,Unknown,Unknown,Under used (not fully used),,,.92,.25 – 1,No,Unknown,1,Poor to Fair,,less than .92 acres,,,,Unknown,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
