Id,Status,Summary,Rating,Address,Description,Request type,Lat,Lng,Export tagged places,Updated at local,Created at local,Acknowledged at local,Reopened at local,Closed at local,Reported using mobile?,Minutes to acknowledged,Minutes to closed,Assignee name,Parsed street and number,Category,Sla in hours,Sla expires at local,Report method code,Report method
2556542,Open,Housing Code Violations/Repairs,1,218 Sixth St.,"The house at 218 Sixth St. has brick that is loose.  The mortar has been falling onto the front porch of the house at 216-1/2 Sixth St.  The resident there is afraid that the lose brick, which can be easily seen because the bricks are half way out of the wall, will fall and cause damage to the property, or hit someone and cause an injury.",15919,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/03/2016 - 02:39PM,06/03/2016 - 02:34PM,,,,FALSE,,,Housing Code Enforcement,218 Sixth St,Housing Code Violations/Repairs,,,phone,Phone
2556738,Open,Tree  branches on the street,1,"240 2nd  Jersey City, New Jersey", On 2nd street between the street and sidewalk there is a large branch that feel on the street!,15246,40.7225922,-74.0432891,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>112.805, ""CSO""=>""RE-15""},Ward E,1st Battalion",06/09/2016 - 02:52PM,06/03/2016 - 03:21PM,,,,FALSE,,,Parks & Forestry,240 2nd,Parks and Playgrounds,168,06/10/2016 - 03:21PM,,
2562759,Acknowledged,Trees along City Streets,2,"13 Nelson Avenue Jersey City, NJ  07307","Large tree in front of 13 Nelson Ave, is very tall and grown into the wires.  During wind it is very active.",15739,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",10/14/2016 - 11:22AM,06/06/2016 - 09:51AM,10/14/2016 - 11:22AM,,,FALSE,187291,,Parks & Forestry,13 Nelson Avenue,Trees along City Streets,,,phone,Phone
2562832,Open,Housing Code Violations/Repairs,1,392 First St Jersey City Nj ,The downspout from the roof is aimed at the backyard to water their garden but actually pouring the water into the backyard of the next home located at 394 First St. ,15919,40.72331568,-74.05196075,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>112.805, ""CSO""=>""RE-15""},Ward E,1st Battalion",06/06/2016 - 10:04AM,06/06/2016 - 10:04AM,,,,FALSE,,,Housing Code Enforcement,392 First St Jersey City NJ,Housing Code Violations/Repairs,,,phone,Phone
2562845,Open,Illegal Apartment(s),1,"106 Paterson St Jersey City, New Jersey",,15849,40.752486,-74.051156,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/09/2016 - 02:52PM,06/06/2016 - 10:08AM,,,,FALSE,,,Zoning,106 Paterson st,Illegal Apartment(s),,,,
2563137,Open,Housing Code Violations/Repairs,1,520 Central Ave Jersey City Nj,,15919,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/06/2016 - 11:08AM,06/06/2016 - 11:08AM,,,,FALSE,,,Housing Code Enforcement,520 Central Ave Jersey City NJ,Housing Code Violations/Repairs,,,direct,Direct
2563259,Open,Housing Code Violations/Repairs,1,"288 Clerk St. Jersey City, NJ  07305",,15919,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/06/2016 - 11:35AM,06/06/2016 - 11:35AM,,,,FALSE,,,Housing Code Enforcement,288 Clerk St,Housing Code Violations/Repairs,,,direct,Direct
2563551,Acknowledged,Tall grass or weeds,2,"89 Oak Street Jersey City, NJ  07304",Both the front and back yards in this abandoned property are overgrown and unsightly.,16280,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",10/14/2016 - 10:52AM,06/06/2016 - 12:13PM,10/14/2016 - 10:52AM,,,FALSE,187119,,Division of Sanitation-Aretha,89 Oak Street,Tall grass or weeds,,,phone,Phone
2564263,Open,Animal Issue other than attack,1,112 Brown Place Jersey City Nj,Puppy Mill at this address. ,16266,40.690772,-74.092859,"Ward A,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>351.295, ""CSO""=>""RE-1""},2nd Battalion",06/06/2016 - 02:47PM,06/06/2016 - 02:47PM,,,,FALSE,,,Animal Control,112 Brown Place Jersey City NJ,Animal Issue other than attack,,,direct,Direct
2564451,Open,Animal Issue other than attack,1,46 Montrose Ave Jersey City NJ,Resident at this address is feeding the pigeons. ,16266,40.7438898,-74.0559091,"3rd Battalion,Jersey City, NJ (City Boundary),Ward D,{""Id""=>0, ""Acres""=>509.092, ""CSO""=>""RE-18""}",06/06/2016 - 03:32PM,06/06/2016 - 03:32PM,,,,FALSE,,,Animal Control,46 Montrose Ave Jersey City,Animal Issue other than attack,,,direct,Direct
