Work Type,Work Order #,Address,Street,Cross Street,Results,Completion Date,Work Order Date
SEWER MAINTENANCE,2015000133,569 - 577,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/2/2015,1/2/2015
SEWER MAINTENANCE,2015000136,26,GRAHAM ST,,"JETTED THE SEWER FOR THE CAMERA CREW
",1/5/2015,1/5/2015
SEWER MAINTENANCE,2015000639,212,FREEMAN AVE,,"JETTED AND VACUUMED THE SEWER.  INSTALL PLYWOOD AT AT THE BOTTOM OF MANHOLE AND PUT 6-BAGS OF RAPID SET CEMENT BEHIND THE WOOD WITH 10-BRICKS TO PERFORM THE NECESSARY BRICKWORK INSIDE THE MANHOLE
",1/16/2015,1/16/2015
SEWER MAINTENANCE,2015000308,245,OLD BERGEN RD,,"CHECKED THE MAIN SEWER AND ITS SURCHARGED.  JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE.
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015000151,116 - 122,COLES ST,,JETTED AND VACUUMED MANHOLES N162 TO N160,1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000607,347,GROVE ST,BAY ST,"JETTED AND VACUUMED THE SEWER
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015000605,426,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015000634,,JOURNAL SQ,BERGEN AVE,"JETTED AND VACUUMED MANHOLE 124 TO 12 0AND 104 FOR THE CAMERA CREW.
",1/21/2015,1/21/2015
SEWER MAINTENANCE,2015000275,3,HECKMAN DR,,"JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE.
",1/17/2015,1/17/2015
SEWER MAINTENANCE,2015000137,,MAGNOLIA AVE,TONNELE AVE,"JETTED AND VACUUMED THE SEWER
",1/5/2015,1/5/2015
SEWER MAINTENANCE,2015000193,,NEPTUNE AVE,OCEAN AVE,"JETTED AND VACUUMED THE SEWER
",1/14/2015,1/14/2015
SEWER MAINTENANCE,2015000188,140,SEAVIEW AVE,,"JETTED AND VACUUMED THE SEWER.
",1/14/2015,1/14/2015
SEWER MAINTENANCE,2015000197,,OLD BERGEN RD,PAMRAPO AVE,"JETTED AND VACUUMED THE SEWER
",1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000273,3,HECKMAN DR,,"JETTED AND VACUUMED THE SEWER
",1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000195,,BRIGHT ST,FLORENCE ST,"JETTED AND VACUUMED THE SEWER
",1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000152,141 -152,COLES ST,,JETTED AND VACUUMED MANHOLE 154 TO 152,1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000670,20,TONNELE AVE,,"JETTED AND VACUUMED THE MAIN SEWER TO RELEASE BLOCKAGE
 ",1/18/2015,1/18/2015
SEWER MAINTENANCE,2015000580,,3RD ST,COLES ST,"JETTED AND VACUUMED THE SEWER.
",1/30/2015,1/30/2015
SEWER MAINTENANCE,2015000135,563 -569,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/2/2015,1/2/2015
SEWER MAINTENANCE,2015000537,800,OCEAN AVE,,"JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE IN LINE.
",1/29/2015,1/29/2015
SEWER MAINTENANCE,2015000645,162 -338,MORGAN ST,,"JETTED AND VACUUMED MANHOLES N304, N306 AND N308.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000016,3,RESERVOIR AVE,,"JETTED THE MAIN SEWER TO RELEASE BLOCKAGE.
",1/4/2015,1/3/2015
SEWER MAINTENANCE,2015000645,162 -338,MORGAN ST,,"JETTED AND VACUUMED MANHOLES N304, N306 AND N308.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000629,84,BLEECKER ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER.
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000089,115,WINFIELD AVE,,"USED THE ELECTRIC EEL TO CLEAR BLOCKAGE IN THE COMMON SEWER LOCATED IN THE BACKYARD OF THIS ADDRESS.
",1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000633,311,WHITON ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000632,36,ERIE ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000631,20,WEST HAMILTON PL,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000460,,BARTHOLDI AVE,SULLIVAN DR,"ON 1-20-15 	CLEANED THE NW AND NE CATCH BASINS.  ON 1-21-15 USED THE ELECTRIC EEL TO SANKE BOTH CATCH BASINS LATERAL.

",1/21/2015,1/20/2015
SEWER MAINTENANCE,2015000630,,15TH ST,ERIE ST,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000625,11,ELIZBETH ST,,"USED THE ELECTRIC EE TO SERVICE THE SEWER
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000628,242,GRIFFITH ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/23/2015,1/23/2015
SEWER MAINTENANCE,2015000626,156,DUNCAN AVE,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER.
",1/22/2015,1/22/2015
